season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
1,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,runs,1.0,190.0
1,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,Punjab Kings,runs,14.0,127.0
1,Punjab Kings,Deccan Chargers,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,6.0,176.0
1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,wickets,5.0,177.0
1,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi Capitals,runs,10.0,212.0
1,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,Kolkata Knight Riders,wickets,5.0,166.0
1,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,wickets,3.0,175.0
1,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,wickets,5.0,146.0
1,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,wickets,7.0,148.0
1,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,9.0,123.0
1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians,runs,41.0,222.0
1,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Wankhede Stadium,Rajasthan Royals,runs,105.0,193.0
1,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,Chennai Super Kings,wickets,9.0,113.0
1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Rajasthan Royals,wickets,3.0,164.0
2,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,Royal Challengers Bangalore,runs,19.0,166.0
2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,Mumbai Indians,runs,75.0,134.0
2,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,Deccan Chargers,wickets,10.0,54.0
2,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Newlands,Delhi Capitals,wickets,8.0,102.0
2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,Chennai Super Kings,runs,92.0,180.0
2,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders,runs,11.0,69.0
2,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Newlands,Deccan Chargers,runs,24.0,185.0
2,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Kingsmead,Delhi Capitals,runs,9.0,190.0
2,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,,tie,,151.0
2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Kingsmead,Punjab Kings,wickets,7.0,169.0
2,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Kingsmead,Deccan Chargers,runs,12.0,169.0
2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Newlands,Punjab Kings,wickets,6.0,150.0
2,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,St George's Park,Delhi Capitals,runs,27.0,140.0
2,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Kingsmead,Deccan Chargers,wickets,6.0,166.0
2,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians,runs,92.0,188.0
2,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,SuperSport Park,Rajasthan Royals,wickets,5.0,144.0
2,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Royal Challengers Bangalore,wickets,5.0,140.0
2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Kingsmead,Punjab Kings,runs,3.0,120.0
2,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Chennai Super Kings,wickets,6.0,149.0
2,Deccan Chargers,Delhi Capitals,Delhi Capitals,field,SuperSport Park,Delhi Capitals,runs,38.0,165.0
2,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Mumbai Indians,runs,9.0,149.0
2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Kingsmead,Royal Challengers Bangalore,runs,8.0,146.0
2,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,St George's Park,Rajasthan Royals,wickets,3.0,142.0
2,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,New Wanderers Stadium,Chennai Super Kings,runs,18.0,164.0
2,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,Punjab Kings,wickets,6.0,154.0
2,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,Royal Challengers Bangalore,wickets,9.0,150.0
2,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Buffalo Park,Chennai Super Kings,runs,78.0,179.0
2,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Kingsmead,Rajasthan Royals,runs,78.0,212.0
2,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Delhi Capitals,wickets,9.0,155.0
2,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,SuperSport Park,Deccan Chargers,runs,19.0,146.0
2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,SuperSport Park,Chennai Super Kings,wickets,7.0,106.0
2,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Rajasthan Royals,runs,12.0,187.0
2,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Delhi Capitals,wickets,7.0,117.0
2,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Chennai Super Kings,wickets,3.0,169.0
2,Deccan Chargers,Punjab Kings,Punjab Kings,field,De Beers Diamond Oval,Punjab Kings,wickets,7.0,141.0
2,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians,runs,16.0,158.0
2,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,New Wanderers Stadium,Delhi Capitals,wickets,7.0,124.0
2,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,De Beers Diamond Oval,Deccan Chargers,runs,53.0,167.0
2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park,Royal Challengers Bangalore,wickets,6.0,174.0
2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,SuperSport Park,Mumbai Indians,wickets,8.0,120.0
2,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,Kingsmead,Delhi Capitals,runs,12.0,174.0
2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,Royal Challengers Bangalore,wickets,2.0,130.0
2,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,Rajasthan Royals,runs,2.0,146.0
2,Delhi Capitals,Punjab Kings,Punjab Kings,field,OUTsurance Oval,Punjab Kings,wickets,6.0,121.0
2,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,Chennai Super Kings,wickets,7.0,148.0
2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,New Wanderers Stadium,Deccan Chargers,wickets,6.0,161.0
2,Deccan Chargers,Punjab Kings,Deccan Chargers,field,New Wanderers Stadium,Punjab Kings,runs,1.0,135.0
2,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,OUTsurance Oval,Delhi Capitals,runs,14.0,151.0
2,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Kolkata Knight Riders,wickets,7.0,189.0
2,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,New Wanderers Stadium,Royal Challengers Bangalore,wickets,7.0,135.0
2,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders,wickets,4.0,102.0
2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Kingsmead,Chennai Super Kings,runs,24.0,117.0
2,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,SuperSport Park,Delhi Capitals,wickets,4.0,166.0
2,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,SuperSport Park,Royal Challengers Bangalore,runs,12.0,171.0
2,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,SuperSport Park,Deccan Chargers,wickets,6.0,154.0
2,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium,Royal Challengers Bangalore,wickets,6.0,147.0
2,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,New Wanderers Stadium,Deccan Chargers,runs,6.0,144.0
3,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Dr DY Patil Sports Academy,Kolkata Knight Riders,runs,11.0,162.0
3,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians,runs,4.0,213.0
3,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,wickets,5.0,143.0
3,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders,wickets,7.0,136.0
3,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,runs,31.0,191.0
