season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
4,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,runs,37.0,173.0
4,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,wickets,8.0,110.0
4,Chennai Super Kings,Pune Warriors,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,25.0,143.0
4,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Royal Challengers Bangalore,wickets,3.0,161.0
4,Kochi Tuskers Kerala,Deccan Chargers,Kochi Tuskers Kerala,field,Nehru Stadium,Deccan Chargers,wickets,8.0,142.0
4,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Dr DY Patil Sports Academy,Chennai Super Kings,runs,55.0,130.0
4,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,Kolkata Knight Riders,runs,17.0,149.0
4,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,7.0,95.0
4,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,26.0,182.0
4,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders,runs,38.0,158.0
4,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,bat,Nehru Stadium,Delhi Capitals,wickets,8.0,120.0
4,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,wickets,6.0,144.0
4,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,19.0,166.0
4,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,Kochi Tuskers Kerala,runs,23.0,160.0
4,Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,Mumbai Indians,wickets,7.0,141.0
4,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,runs,20.0,170.0
4,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,8.0,148.0
4,Pune Warriors,Mumbai Indians,Pune Warriors,field,Dr DY Patil Sports Academy,Mumbai Indians,runs,21.0,161.0
4,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Nehru Stadium,Kochi Tuskers Kerala,runs,17.0,157.0
4,Deccan Chargers,Delhi Capitals,Delhi Capitals,field,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,wickets,4.0,176.0
4,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,85.0,206.0
4,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai Indians,runs,10.0,52.0
4,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Kolkata Knight Riders,runs,32.0,179.0
4,Punjab Kings,Pune Warriors,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,wickets,9.0,126.0
4,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,5.0,120.0
4,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Chennai Super Kings,runs,63.0,197.0
4,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,6.0,137.0
4,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,runs,76.0,164.0
4,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,Royal Challengers Bangalore,wickets,9.0,147.0
4,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,18.0,177.0
4,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,Holkar Cricket Stadium,Punjab Kings,wickets,6.0,179.0
4,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,Wankhede Stadium,Deccan Chargers,wickets,4.0,102.0
4,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,10.0,136.0
4,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,Kochi Tuskers Kerala,runs,29.0,171.0
4,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,Punjab Kings,wickets,8.0,98.0
4,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Deccan Chargers,wickets,6.0,137.0
4,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Himachal Pradesh Cricket Association Stadium,Punjab Kings,runs,111.0,233.0
4,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,11.0,153.0
4,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr DY Patil Sports Academy,Kolkata Knight Riders,wickets,7.0,119.0
4,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,Rajasthan Royals,wickets,10.0,134.0
4,Punjab Kings,Deccan Chargers,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,runs,82.0,199.0
4,Delhi Capitals,Pune Warriors,Delhi Capitals,bat,Feroz Shah Kotla,,no result,,
4,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,8.0,129.0
4,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Mumbai Indians,wickets,5.0,176.0
4,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings,wickets,6.0,176.0
4,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians,wickets,4.0,148.0
4,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,runs,43.0,186.0
4,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,58.0,206.0
5,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,wickets,8.0,113.0
5,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,Delhi Capitals,wickets,8.0,98.0
5,Mumbai Indians,Pune Warriors,Mumbai Indians,field,Wankhede Stadium,Pune Warriors,runs,28.0,130.0
5,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,31.0,192.0
5,Deccan Chargers,Chennai Super Kings,Deccan Chargers,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,runs,20.0,158.0
5,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,74.0,194.0
5,Pune Warriors,Punjab Kings,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,runs,22.0,165.0
5,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,22.0,167.0
5,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,wickets,5.0,139.0
5,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,runs,42.0,166.0
5,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Feroz Shah Kotla,Delhi Capitals,wickets,8.0,111.0
5,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians,runs,27.0,198.0
5,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,5.0,206.0
5,Punjab Kings,Pune Warriors,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,7.0,116.0
5,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders,wickets,5.0,132.0
5,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,Pune Warriors,wickets,7.0,156.0
5,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,M Chinnaswamy Stadium,Rajasthan Royals,runs,2.0,135.0
5,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Punjab Kings,runs,59.0,196.0
5,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Delhi Capitals,wickets,7.0,93.0
5,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,5.0,197.0
5,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,6.0,183.0
5,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,wickets,8.0,125.0
5,Chennai Super Kings,Pune Warriors,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,5.0,158.0
5,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,Delhi Capitals,runs,13.0,165.0
5,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,wickets,5.0,164.0
5,Delhi Capitals,Pune Warriors,Delhi Capitals,field,Feroz Shah Kotla,Pune Warriors,wickets,7.0,147.0
5,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,20.0,193.0
5,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Kolkata Knight Riders,wickets,6.0,164.0
5,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Wankhede Stadium,Punjab Kings,wickets,5.0,127.0
5,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,Royal Challengers Bangalore,runs,46.0,190.0
5,Pune Warriors,Delhi Capitals,Pune Warriors,bat,Subrata Roy Sahara Stadium,Delhi Capitals,wickets,8.0,147.0
5,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,wickets,4.0,169.0
5,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium,Deccan Chargers,runs,18.0,178.0
5,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Feroz Shah Kotla,Delhi Capitals,runs,37.0,208.0
5,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,"MA Chidambaram Stadium, Chepauk",Punjab Kings,runs,7.0,157.0
5,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,runs,47.0,191.0
5,Mumbai Indians,Deccan Chargers,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians,runs,1.0,153.0
5,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals,wickets,5.0,101.0
5,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,wickets,5.0,140.0
5,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Barabati Stadium,Deccan Chargers,runs,13.0,187.0
5,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Sawai Mansingh Stadium,Delhi Capitals,wickets,6.0,142.0
5,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Punjab Kings,wickets,4.0,159.0
5,Pune Warriors,Mumbai Indians,Mumbai Indians,bat,Subrata Roy Sahara Stadium,Mumbai Indians,runs,1.0,121.0
5,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,10.0,161.0
5,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,runs,7.0,151.0
5,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,runs,43.0,178.0
5,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians,wickets,2.0,174.0
5,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,5.0,182.0
5,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Kolkata Knight Riders,wickets,6.0,154.0
5,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Subrata Roy Sahara Stadium,Rajasthan Royals,wickets,7.0,126.0
5,Deccan Chargers,Punjab Kings,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,runs,25.0,171.0
5,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,Royal Challengers Bangalore,wickets,9.0,142.0
5,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,Chennai Super Kings,wickets,9.0,188.0
5,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,wickets,4.0,127.0
5,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,field,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,runs,35.0,174.0
5,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,27.0,183.0
5,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Mumbai Indians,wickets,9.0,115.0
5,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,runs,45.0,171.0
5,Punjab Kings,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,4.0,191.0
5,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,Chennai Super Kings,wickets,5.0,172.0
5,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians,wickets,5.0,159.0
5,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Feroz Shah Kotla,Delhi Capitals,wickets,5.0,137.0
5,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Kolkata Knight Riders,runs,32.0,141.0
5,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Feroz Shah Kotla,Royal Challengers Bangalore,wickets,6.0,121.0
5,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Punjab Kings,runs,21.0,216.0
5,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,wickets,5.0,127.0
5,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,wickets,6.0,142.0
5,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,runs,34.0,137.0
5,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,Mumbai Indians,runs,9.0,133.0
5,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,wickets,10.0,163.0
5,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,runs,18.0,163.0
5,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Chennai Super Kings,runs,38.0,188.0
5,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,86.0,223.0
5,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,wickets,5.0,191.0
6,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders,wickets,6.0,129.0
6,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,2.0,157.0
6,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,runs,22.0,127.0
6,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,runs,5.0,166.0
6,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Rajasthan Royals,runs,9.0,149.0
6,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",,wickets,8.0,100.0
6,Pune Warriors,Punjab Kings,Pune Warriors,bat,Subrata Roy Sahara Stadium,Punjab Kings,tie,,131.0
6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,19.0,145.0
6,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,runs,44.0,210.0
6,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,7.0,162.0
6,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,wickets,10.0,139.0
6,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,8.0,155.0
6,Pune Warriors,Rajasthan Royals,Rajasthan Royals,bat,Subrata Roy Sahara Stadium,Pune Warriors,wickets,7.0,146.0
6,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Feroz Shah Kotla,Sunrisers Hyderabad,wickets,3.0,115.0
6,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,41.0,184.0
6,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,wickets,4.0,166.0
6,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,48.0,181.0
6,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,wickets,6.0,125.0
6,Chennai Super Kings,Pune Warriors,Pune Warriors,bat,"MA Chidambaram Stadium, Chepauk",Pune Warriors,runs,24.0,160.0
6,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,runs,4.0,158.0
6,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,,tie,,153.0
6,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,runs,11.0,120.0
6,Pune Warriors,Sunrisers Hyderabad,Pune Warriors,field,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,runs,87.0,180.0
6,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Feroz Shah Kotla,Chennai Super Kings,runs,86.0,170.0
6,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,wickets,5.0,124.0
6,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,Chennai Super Kings,wickets,4.0,120.0
6,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,7.0,118.0
6,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Feroz Shah Kotla,Delhi Capitals,wickets,9.0,162.0
6,Punjab Kings,Pune Warriors,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,7.0,186.0
6,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,5.0,186.0
6,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,Punjab Kings,runs,130.0,264.0
6,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,5.0,121.0
6,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians,wickets,5.0,160.0
6,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,5.0,160.0
6,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,Kolkata Knight Riders,wickets,6.0,150.0
6,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,8.0,145.0
6,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,runs,58.0,195.0
6,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,14.0,201.0
6,Delhi Capitals,Pune Warriors,Pune Warriors,field,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,runs,15.0,165.0
6,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,wickets,4.0,172.0
6,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,runs,4.0,175.0
6,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,Chennai Super Kings,runs,37.0,165.0
6,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,wickets,7.0,130.0
6,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,wickets,7.0,137.0
6,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,runs,15.0,187.0
6,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,17.0,188.0
6,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders,wickets,8.0,133.0
6,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,wickets,6.0,81.0
6,Rajasthan Royals,Pune Warriors,Pune Warriors,bat,Sawai Mansingh Stadium,Rajasthan Royals,runs,60.0,140.0
6,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,wickets,5.0,179.0
6,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,6.0,191.0
6,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,9.0,155.0
6,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,runs,65.0,171.0
6,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,runs,77.0,224.0
6,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,wickets,8.0,146.0
6,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,runs,46.0,153.0
6,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Feroz Shah Kotla,Royal Challengers Bangalore,runs,4.0,184.0
6,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Subrata Roy Sahara Stadium,Mumbai Indians,wickets,5.0,113.0
6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,runs,30.0,151.0
6,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,wickets,5.0,116.0
6,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,JSCA International Stadium Complex,Kolkata Knight Riders,wickets,5.0,142.0
6,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,Mumbai Indians,wickets,7.0,179.0
6,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,7.0,175.0
6,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Punjab Kings,runs,33.0,169.0
6,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians,runs,7.0,171.0
6,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex,Pune Warriors,runs,14.0,167.0
6,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,Punjab Kings,runs,7.0,172.0
6,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,runs,23.0,137.0
6,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,50.0,184.0
6,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Himachal Pradesh Cricket Association Stadium,Punjab Kings,runs,24.0,107.0
6,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,runs,38.0,173.0
6,Pune Warriors,Delhi Capitals,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,wickets,5.0,131.0
6,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Feroz Shah Kotla,Chennai Super Kings,runs,48.0,193.0
